Country,Time,Labour force,"Private final consumption expenditure, volume","Gross fixed capital formation, total, volume","Gross domestic product, volume, market prices",Total employment (labour force survey basis),"Imports of goods and services, volume (national accounts basis)","Exports of goods and services, volume (national accounts basis)",Unemployment rate,Countryno,Consumption % per GDP,Investment % per GDP,Net exports % per GDP,Labour productivity,Labour productivity growth
Australia,2009.75,270290788378.02,11493287.4936876,10852537.2369786,388753161978.388,288787095165.738,842737091540.112,1489376365734.42,5.57499546636214,1,0.0029564486203012665,0.002791626743754158,166.33672402907854,1.346158358479552,-6.425252550599381
Australia,2010.0,278350458969.158,11535728.8676199,10922136.4124921,392214174062.417,299726662843.896,846250712724.878,1497576553098.45,5.31906099882521,1,0.0029411810256974808,0.002784737812854757,166.0638200877258,1.3085728521479267,-2.7920568256231793
Australia,2010.25,281659267859.532,11573430.8709126,10962656.1981744,399988901796.332,309847767889.327,857867980047.996,1505620998261.88,5.27738645135295,1,0.0028934379976386466,0.0027407400927729766,161.94274773746335,1.2909207141334063,-1.3489610445108768
Australia,2010.5,276553090937.403,11654223.1114461,11053070.6571287,405875204729.372,305652553784.292,865995595055.492,1515935324795.16,5.15823704908311,1,0.0028713809012346197,0.0027232682677668435,160.13289852801736,1.3278973125014688,2.8643585902086155
Australia,2010.75,281901182233.907,11749530.3266881,11151110.2577716,412717719411.88,318829015482.484,875977712171.635,1530747123844.52,5.09314034074441,1,0.0028468683979527465,0.002701873395128723,158.64824330923494,1.294479797540742,-2.5165737324805204
Australia,2011.0,267349465925.313,11768370.4228789,11183051.0164423,417600714355.119,323405947132.611,882576264209.685,1525768797502.29,4.97366572774341,1,0.002818091544946765,0.002677929091599318,154.02093702973107,1.2912586118395772,-0.24884016786390628
Australia,2011.25,273909967630.296,11775827.0923381,11191760.853317,425751720050.048,334777267182.701,890131121775.781,1543166513451.0,4.95987444823422,1,0.0027658906676768865,0.0026287059631846903,153.38408770220667,1.2717462079577186,-1.5111151014172486
Australia,2011.5,282851610740.479,11841513.7725357,11226059.5779743,435635526758.573,352014602935.185,895742040233.264,1563939284009.99,5.1974283557298,1,0.002718215812343103,0.002576938492942456,153.3844699831007,1.237549587790211,-2.6889500399945088
Australia,2011.75,289992955703.912,11870694.7086473,11254393.2302331,446932038836.262,354762182749.503,898610573781.271,1582301405036.72,5.1917894743365,1,0.002656040220243921,0.002518144203655146,152.97422691728883,1.2598074444474823,1.7985426100795898
Australia,2012.0,283595275885.736,11898680.3648259,11285339.6897997,466473958775.891,360035156274.744,910034054447.769,1598131127188.93,5.15469494280515,1,0.0025507705502039414,0.002419286109650022,147.5102864363206,1.2956344697069615,2.8438493054938174
